Tamaño,JSON,CSV,PARQUET,AVRO
0,0.0031264066696166993,0.0013456344604492188,0.012776470184326172,0.014068174362182616
34482,0.3993277072906494,0.2554736614227295,0.21381793022155762,0.8727004051208496
68965,1.0400026082992553,0.6740995645523071,0.6251043558120728,2.0502140283584596
103448,1.5395853996276856,0.9724983930587768,0.9534833908081055,2.6299075841903687
137931,2.1037951707839966,1.4539096355438232,1.3288779973983764,3.9741115093231203
172413,2.5960277557373046,1.7119448900222778,1.6028706312179566,5.241452717781067
206896,3.3215524435043333,2.215307927131653,2.008910083770752,5.457336688041687
241379,5.783149170875549,3.8569976329803466,2.810294270515442,8.557597017288208
275862,4.8493767261505125,3.3308626651763915,2.7746861934661866,7.3568675994873045
310344,4.5746863842010494,3.092045855522156,2.9190054178237914,8.57131631374359
344827,7.119510984420776,5.149914169311524,4.464133238792419,11.922119879722596
379310,8.236818885803222,6.09653069972992,5.03637375831604,10.970961737632752
413793,7.1331878185272215,4.547617268562317,4.389724135398865,13.590532898902893
448275,8.26480746269226,6.251154518127441,5.3282989978790285,13.172804427146911
482758,6.976977777481079,4.711489462852478,4.666294145584106,13.49328634738922
517241,11.288441610336303,7.915514087677002,6.25552990436554,18.98452877998352
551724,12.021709966659547,8.199715447425842,6.210480833053589,22.52790551185608
586206,9.524654006958007,6.071108007431031,6.457130241394043,22.95974736213684
620689,14.103981852531433,9.599197363853454,7.631178855895996,28.336824011802673
655172,13.059161949157716,8.737027645111084,7.059601902961731,21.792377495765685
689655,14.718580889701844,10.981938004493713,9.285067439079285,22.32207360267639
724137,17.665501356124878,11.310037231445312,9.006405305862426,26.491228437423707
758620,16.72852647304535,12.003341817855835,10.113401818275452,25.32055218219757
793103,14.314573431015015,9.553874564170837,8.9358145236969,21.57219793796539
827586,15.977130770683289,11.179814577102661,9.56642575263977,23.822123336791993
862068,16.00248453617096,10.275434350967407,9.993554639816285,27.913320350646973
896551,20.725824689865114,15.087247800827026,12.478355860710144,31.353770852088928
931034,16.242489886283874,11.13293948173523,10.431118059158326,25.73009307384491
965517,20.794520568847656,14.81985342502594,12.060280680656433,30.270492124557496
1000000,20.163002038002013,14.575004243850708,12.359211993217468,36.68317074775696
